common_name,scientific_name,Wet Paddy fields,Open Areas,"Groves,Gardens and Plantations",Habitation,Dry Grassland,Hill Grassland,Wet Grassland,High Altitude Grassland,Reeds,Dry Deciduous,Hill Shrubland,Thorny Scrub,Rocky Scrub,Tropical Rainforest,Bamboo Forest,Shola Forest,Moist Deciduous,Subtropical Montane Forest,Mixed Forest,Oak Forest,Coniferous Forest,Forest Swamp,Short Grass Marshes,High Shrubbery,High Alpine,Inland Water,Inland Mudflats,Coastal Mudflats,Beaches,Pelagic Waters,Hot Desert,Semi-Desert,Cold Desert,Mangrove Swamps,Salt Pans,Lagoons,Rivers,High Altitude Lakes,Brackish Backwaters
Booted Eagle,Hieraaetus pennatus,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,
Eurasian Marsh-Harrier,Circus aeruginosus,1,1,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Eastern Marsh-Harrier,Circus spilonotus,,1,,,1,,,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
Hen Harrier,Circus cyaneus,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Pallid Harrier,Circus macrourus,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pied Harrier,Circus melanoleucos,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Montagu's Harrier,Circus pygargus,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crested Goshawk,Accipiter trivirgatus,,,,,,,,,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,
Shikra,Accipiter badius,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicobar Sparrowhawk,Accipiter butleri,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Sparrowhawk,Accipiter soloensis,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,
Japanese Sparrowhawk,Accipiter gularis,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,
Besra,Accipiter virgatus,,,,,,,,,,,,,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,
Eurasian Sparrowhawk,Accipiter nisus,,1,1,,1,,,,,1,,,,,,,1,,1,1,1,,,,,,,,,,,,1,,,,,,
Northern Goshawk,Accipiter gentilis,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
White-bellied Sea-Eagle,Haliaeetus leucogaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,1
Pallas's Fish-Eagle,Haliaeetus leucoryphus,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,
White-tailed Eagle,Haliaeetus albicilla,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,
Lesser Fish-Eagle,Haliaeetus humilis,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,
Gray-headed Fish-Eagle,Haliaeetus ichthyaetus,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,
Brahminy Kite,Haliastur indus,1,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,1,,1,,,1
Red Kite,Milvus milvus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Kite,Milvus migrans,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White-eyed Buzzard,Butastur teesa,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray-faced Buzzard,Butastur indicus,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Common Buzzard,Buteo buteo,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himalayan Buzzard,Buteo refectus,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,
Long-legged Buzzard,Buteo rufinus,,1,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,
Upland Buzzard,Buteo hemilasius,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,1,,,,,,
Oriental Bay-Owl,Phodilus badius,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka Bay-Owl,Phodilus assimilis,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,
Australasian Grass-Owl,Tyto longimembris,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andaman Masked-Owl,Tyto deroepstorffi,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barn Owl,Tyto alba,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown Boobook,Ninox scutulata,,,1,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Hume's Boobook,Ninox obscura,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Andaman Boobook,Ninox affinis,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Collared Owlet,Glaucidium brodiei,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,
Asian Barred Owlet,Glaucidium cuculoides,,,1,1,,,,,,1,,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,
Jungle Owlet,Glaucidium radiatum,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Spotted Owlet,Athene brama,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Owl,Athene noctua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Forest Owlet,Athene blewitti,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boreal Owl,Aegolius funereus,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Andaman Scops-Owl,Otus balli,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Scops-Owl,Otus spilocephalus,,,,,,,,,,,,,,1,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Eurasian Scops-Owl,Otus scops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pallid Scops-Owl,Otus brucei,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oriental Scops-Owl,Otus sunia,,,1,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,
Nicobar Scops-Owl,Otus alius,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,
Indian Scops-Owl,Otus bakkamoena,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Collared Scops-Owl,Otus lettia,,,1,,,,,,,,,,,1,,,1,,1,,1,,,,,,,,,,,,,,,,,,
Long-eared Owl,Asio otus,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,,,,,
Short-eared Owl,Asio flammeus,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,
Mottled Wood-Owl,Strix ocellata,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown Wood-Owl,Strix leptogrammica,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Tawny Owl,Strix aluco,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Himalayan Owl,Strix nivicolum,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Eurasian Eagle-Owl,Bubo bubo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Rock Eagle-Owl,Bubo bengalensis,,1,1,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
Spot-bellied Eagle-Owl,Bubo nipalensis,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Dusky Eagle-Owl,Bubo coromandus,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Brown Fish-Owl,Ketupa zeylonensis,,,1,,,,,,,1,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,1,,
Tawny Fish-Owl,Ketupa flavipes,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,
Buffy Fish-Owl,Ketupa ketupu,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,
Malabar Trogon,Harpactes fasciatus,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Red-headed Trogon,Harpactes erythrocephalus,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,
Ward's Trogon,Harpactes wardi,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,
Great Hornbill,Buceros bicornis,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Malabar Pied-Hornbill,Anthracoceros coronatus,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Oriental Pied-Hornbill,Anthracoceros albirostris,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Brown Hornbill,Anorrhinus austeni,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Malabar Gray Hornbill,Ocyceros griseus,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Indian Gray Hornbill,Ocyceros birostris,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rufous-necked Hornbill,Aceros nipalensis,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,
Narcondam Hornbill,Rhyticeros narcondami,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Wreathed Hornbill,Rhyticeros undulatus,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,
Eurasian Hoopoe,Upupa epops,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow-rumped Honeyguide,Indicator xanthonotus,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,
Eurasian Wryneck,Jynx torquilla,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,
White-browed Piculet,Sasia ochracea,,,,,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,
Speckled Piculet,Picumnus innominatus,,,,,,,,,,,,,,1,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Heart-spotted Woodpecker,Hemicircus canente,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Himalayan Flameback,Dinopium shorii,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Common Flameback,Dinopium javanense,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Black-rumped Flameback,Dinopium benghalense,,,1,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Pale-headed Woodpecker,Gecinulus grantia,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,
Rufous Woodpecker,Micropternus brachyurus,,,1,,,,,,,1,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,
Greater Yellownape,Chrysophlegma flavinucha,,,,,,,,,,,,,,1,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Lesser Yellownape,Picus chlorolophus,,,1,,,,,,,,,,,1,,,1,,1,,1,,,,,,,,,,,,,,,,,,
Streak-throated Woodpecker,Picus xanthopygaeus,,,1,,,,,,,1,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,
Gray-headed Woodpecker,Picus canus,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Scaly-bellied Woodpecker,Picus squamatus,,,1,,,,,,,,,,,,,,,,1,1,1,,,,1,,,,,,,,,,,,,,
Great Slaty Woodpecker,Mulleripicus pulverulentus,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
White-bellied Woodpecker,Dryocopus javensis,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Andaman Woodpecker,Dryocopus hodgei,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,
Bay Woodpecker,Blythipicus pyrrhotis,,,,,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,
Greater Flameback,Chrysocolaptes guttacristatus,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,
White-naped Woodpecker,Chrysocolaptes festivus,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown-capped Woodpecker,Yungipicus nanus,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray-capped Woodpecker,Yungipicus canicapillus,,,1,,,,,,,1,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Fulvous-breasted Woodpecker,Dendrocopos macei,,,,,,,,,,1,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,
Freckle-breasted Woodpecker,Dendrocopos analis,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Stripe-breasted Woodpecker,Dendrocopos atratus,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,
Brown-fronted Woodpecker,Dendrocoptes auriceps,,,1,,,,,,,1,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Yellow-crowned Woodpecker,Leiopicus mahrattensis,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crimson-breasted Woodpecker,Dryobates cathpharius,,,,,,,,,,,,,,1,,,1,1,,1,,,,,,,,,,,,,,,,,,,
Darjeeling Woodpecker,Dendrocopos darjellensis,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,
Himalayan Woodpecker,Dendrocopos himalayensis,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Sind Woodpecker,Dendrocopos assimilis,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Spotted Woodpecker,Dendrocopos major,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Rufous-bellied Woodpecker,Dendrocopos hyperythrus,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Great Barbet,Psilopogon virens,,,,,,,,,,,,,,1,,,,1,1,1,1,,,,,,,,,,,,,,,,,,
Brown-headed Barbet,Psilopogon zeylanicus,,,1,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Lineated Barbet,Psilopogon lineatus,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
White-cheeked Barbet,Psilopogon viridis,,,1,1,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Golden-throated Barbet,Psilopogon franklinii,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,
Blue-throated Barbet,Psilopogon asiaticus,,,1,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Blue-eared Barbet,Psilopogon duvaucelii,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Malabar Barbet,Psilopogon malabaricus,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Coppersmith Barbet,Psilopogon haemacephalus,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Blue-bearded Bee-eater,Nyctyornis athertoni,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Green Bee-eater,Merops orientalis,,1,1,1,1,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Chestnut-headed Bee-eater,Merops leschenaulti,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Blue-throated Bee-eater,Merops viridis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue-tailed Bee-eater,Merops philippinus,1,1,,,1,,1,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,1,,,,,1
Blue-cheeked Bee-eater,Merops persicus,1,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,
European Bee-eater,Merops apiaster,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Indian Roller,Coracias benghalensis,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Roller,Coracias garrulus,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dollarbird,Eurystomus orientalis,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Black-backed Dwarf-Kingfisher,Ceyx erithaca,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Rufous-backed Dwarf-Kingfisher,Ceyx rufidorsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue-eared Kingfisher,Alcedo meninting,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,
Blyth's Kingfisher,Alcedo hercules,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Common Kingfisher,Alcedo atthis,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,1,,
Crested Kingfisher,Megaceryle lugubris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Pied Kingfisher,Ceryle rudis,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,
Stork-billed Kingfisher,Pelargopsis capensis,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,1,,
Brown-winged Kingfisher,Pelargopsis amauroptera,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,
Ruddy Kingfisher,Halcyon coromanda,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,
White-throated Kingfisher,Halcyon smyrnensis,,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,
Black-capped Kingfisher,Halcyon pileata,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,1
Collared Kingfisher,Todiramphus chloris,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,1
Collared Falconet,Microhierax caerulescens,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Pied Falconet,Microhierax melanoleucos,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Lesser Kestrel,Falco naumanni,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eurasian Kestrel,Falco tinnunculus,,1,,,1,1,,1,,,,,,,,,,,1,1,1,,,,1,,,,,,,,1,,,,,,
Red-necked Falcon,Falco chicquera,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Red-footed Falcon,Falco vespertinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amur Falcon,Falco amurensis,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Merlin,Falco columbarius,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,
Eurasian Hobby,Falco subbuteo,,1,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,
Oriental Hobby,Falco severus,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Laggar Falcon,Falco jugger,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,
Saker Falcon,Falco cherrug,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,
Peregrine Falcon,Falco peregrinus,,,,1,1,,,1,,,,,,,,,,,1,,1,,,,,1,,,,,,1,,,,,,,
Gray-headed Parakeet,Psittacula finschii,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,
Slaty-headed Parakeet,Psittacula himalayana,,,1,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Blossom-headed Parakeet,Psittacula roseata,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Plum-headed Parakeet,Psittacula cyanocephala,,,,,,,,,,1,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,
Red-breasted Parakeet,Psittacula alexandri,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Derbyan Parakeet,Psittacula derbiana,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Long-tailed Parakeet,Psittacula longicauda,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,
Malabar Parakeet,Psittacula columboides,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Alexandrine Parakeet,Psittacula eupatria,,,1,,,,,,,1,,,,,,,1,,1,,1,,,,,,,,,,,,,1,,,,,
Rose-ringed Parakeet,Psittacula krameri,,,1,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Nicobar Parakeet,Psittacula caniceps,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Vernal Hanging-Parrot,Loriculus vernalis,,,1,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Blue-naped Pitta,Hydrornis nipalensis,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,
Blue Pitta,Hydrornis cyaneus,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Pitta,Pitta brachyura,,,1,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Blue-winged Pitta,Pitta moluccensis,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Mangrove Pitta,Pitta megarhyncha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Hooded Pitta,Pitta sordida,,,,,,,,,,1,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,
Long-tailed Broadbill,Psarisomus dalhousiae,,,,,,,,,,,,,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,
Silver-breasted Broadbill,Serilophus lunatus,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
White-bellied Minivet,Pericrocotus erythropygius,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Minivet,Pericrocotus cinnamomeus,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray-chinned Minivet,Pericrocotus solaris,,,,,,,,,,,,,,1,,,1,1,1,,1,,,,,,,,,,,,,,,,,,
Short-billed Minivet,Pericrocotus brevirostris,,,,,,,,,,,,,,1,,,1,1,1,,1,,,,,,,,,,,,,,,,,,
Long-tailed Minivet,Pericrocotus ethologus,,,1,,,,,,,1,,,,1,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Orange Minivet,Pericrocotus flammeus,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Scarlet Minivet,Pericrocotus speciosus,,,,,,,,,,,,,,1,,,1,1,1,,1,,,,,,,,,,,,,,,,,,
Ashy Minivet,Pericrocotus divaricatus,,,1,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Brown-rumped Minivet,Pericrocotus cantonensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosy Minivet,Pericrocotus roseus,,,,,,,,,,1,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,
Large Cuckooshrike,Coracina macei,,,1,,,,,,,1,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,
Andaman Cuckooshrike,Coracina dobsoni,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Pied Triller,Lalage nigra,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Black-winged Cuckooshrike,Lalage melaschistos,,,1,,,,,,,1,,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,
Black-headed Cuckooshrike,Lalage melanoptera,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Mangrove Whistler,Pachycephala cinerea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Black-headed Shrike-Babbler,Pteruthius rufiventer,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
Himalayan Shrike-Babbler,Pteruthius ripleyi,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Blyth's Shrike-Babbler,Pteruthius aeralatus,,,,,,,,,,,,,,1,,,,1,1,1,1,,,,,,,,,,,,,,,,,,
Green Shrike-Babbler,Pteruthius xanthochlorus,,,,,,,,,,,,,,1,,,,1,1,1,1,,,,,,,,,,,,,,,,,,
Black-eared Shrike-Babbler,Pteruthius melanotis,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,
Clicking Shrike-Babbler,Pteruthius intermedius,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
White-bellied Erpornis,Erpornis zantholeuca,,,,,,,,,,,,,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,
Maroon Oriole,Oriolus traillii,,,,,,,,,,,,,,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,
Black-hooded Oriole,Oriolus xanthornus,,,1,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Eurasian Golden Oriole,Oriolus oriolus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Golden Oriole,Oriolus kundoo,,,1,1,,,,,,1,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,
Black-naped Oriole,Oriolus chinensis,,,1,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Slender-billed Oriole,Oriolus tenuirostris,,,1,,,,,,,,,,,1,,,1,1,1,,1,,,,,,,,,,,,,,,,,,
White-breasted Woodswallow,Artamus leucorynchus,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashy Woodswallow,Artamus fuscus,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar-winged Flycatcher-shrike,Hemipus picatus,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Malabar Woodshrike,Tephrodornis sylvicola,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Large Woodshrike,Tephrodornis virgatus,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Common Woodshrike,Tephrodornis pondicerianus,,,1,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Common Iora,Aegithina tiphia,,,1,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
White-tailed Iora,Aegithina nigrolutea,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Drongo,Dicrurus macrocercus,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
